Type,Start Time,Stop Time,Duration,Transcript,Speakers,Dominant_Speaker,Predicted_Label
speech,0.03,15.05,15.02,이 캠페인은 환경부와 환경책임보험사업단이 함께합니다.,SPEAKER_13:1.00s(1.000),SPEAKER_13,AD
speech,24.72,28.4,3.68,고객들의 마음을 사로잡기 위해 SBS 라디오와 함께하세요.,SPEAKER_00:1.00s(1.000),SPEAKER_00,AD
speech,39.01,51.08,12.07,아까 전에,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,62.6,68.92,6.32,시리즈물 빨간머리 앤에서 초록지붕집에 입양된 앤이 말합니다.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,68.94,70.49,1.5499999999999972,나는 지금 사랑받고 있어.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,70.51,75.36,4.849999999999994,하지만 사랑받지 못했을 때도 내가 그럴 가치가 없다는 건 아니었어.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,87.71,89.9,2.190000000000012,참 기분 좋아지는 얘기죠.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,89.92,92.88,2.9599999999999937,그런데 보통은 앤처럼 긍정적이기 쉽지 않죠.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,93.9,94.08,0.1799999999999926,그럼 어떡하느냐.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,94.1,97.99,3.890000000000001,우리의 앤은 이 질문에도 답을 갖고 있습니다.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,98.01,101.81,3.799999999999997,마음이 어두울 땐 밝은 상상을 하는 거지.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,101.83,106.78,4.950000000000003,우선 너의 방이 무슨 색이면 좋을지 그걸 상상하는 것부터 시작해봐.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,106.8,110.89,4.090000000000003,마음만 먹으면 기분 좋은 상상이 산들바람처럼 불어옵니다.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,111.95,113.83,1.8799999999999957,그래서 저의 상상은 뭐냐고요?,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,113.85,118.75,4.900000000000006,지금 시내타운을 듣고 있는 여러분의 얼굴을 그려보는 겁니다.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,118.77,120.05,1.2800000000000011,안녕하세요.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,120.07,123.12,3.050000000000012,박하선의 시내타운 박하선입니다.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,238.66,259.82,21.16,I tilted your cloud You tilted my hand The rain falls in real time The rain fell through the night No dress rehearsal This is alright,SPEAKER_08:1.00s(1.000),SPEAKER_08,MUSIC
speech,343.32,345.42,2.1000000000000227,감사합니다.,UNKNOWN:1.00s(1.000),,AD
speech,350.98,354.0,3.019999999999982,11월 21일 목요일입니다.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,354.23,362.38,8.149999999999977,박하선의 시내타운 첫 곡은 시리즈 빨간머리 앤에서 더 트레지컬리 힙의 Ahead By A Century 듣고 왔어요.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,362.4,376.82,14.420000000000016,2017년에 공개된 빨간머리 앤 시리즈 미드 브레이킹 배드 시리즈로 유명한 모이나 월리 베켓 감독의 작품이고 에미베스트 맥널티 그리고 제라르딘 제임스가 출연을 했습니다.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,376.8,379.55,2.75,우리의 추억 한켠에 있는 이야기죠.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,379.56,385.4,5.839999999999975,캐나다의 프린스 에드워드 섬에 사는 앤 셜리의 이야기를 그린 드라마.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,385.42,388.6,3.180000000000007,루시모드 몽고메리의 소설이 원작입니다.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,388.62,392.19,3.569999999999993,이 빨간 머리에는 얼마 전에 아이랑도 한번 봤는데 전시회도 갔었고.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,392.71,394.15,1.4399999999999975,뭔가 그때도 느꼈어요.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,394.44,396.96,2.519999999999982,뭔가 좀 다크하다고 느껴졌었거든요.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,397.18,400.13,2.9499999999999886,뭔가 너무 솔직하고 불편한 부분도 있고.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,400.15,404.48,4.330000000000041,다시 봐도 약간 염세적인 애니메이션인 것 같아요.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,404.5,404.6,0.1000000000000227,솔직해요.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,404.69,406.62,1.9300000000000068,굉장히 미화하지 않고 동활하고.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,407.26,412.53,5.269999999999982,근데 그래서 좀 더 짠하고 그리고 좀 더 뭔가 오히려 더 희망이 있는.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,412.55,414.21,1.6599999999999682,그걸 극복하고 또 애니.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,414.19,419.54,5.350000000000023,잠시 후 2부에는 위클리 매거진이 있습니다.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,419.56,421.82,2.259999999999991,박혜연 편집장님과 함께 한 주간 영역의 핫 이슈들 알아볼 거예요.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,421.84,433.07,11.230000000000018,하고 싶은 얘기 듣고 싶은 노래가 있다 그럼 무료인 고릴라나 샵 1077로 짧은 건 50원 긴 건 100원의 유료 문자로 보내주시면 됩니다.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,433.09,436.2,3.1100000000000136,그럼 우리 광고 듣고 다시 만나요.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,436.22,438.0,1.7799999999999727,팀장님 연금도 투자하세요?,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,438.4,440.6,2.200000000000045,알아서 크는 연금은 없으니까 투자해야죠.,SPEAKER_17:1.00s(1.000),SPEAKER_17,AD
speech,441.38,443.75,2.3700000000000045,아 투자의 차이가 연금의 차이?,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,444.05,446.37,2.319999999999993,이제 연금도 투자다.,SPEAKER_17:1.00s(1.000),SPEAKER_17,AD
speech,446.39,447.07,0.6800000000000068,N2 퇴직연금.,SPEAKER_17:1.00s(1.000),SPEAKER_17,AD
speech,447.49,451.98,4.490000000000009,역시 고용노동부가 선정한 2024년 퇴직연금 우수사업자.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,452.0,453.02,1.0199999999999818,NH투자증권.,SPEAKER_17:1.00s(1.000),SPEAKER_17,AD
speech,453.32,454.0,0.6800000000000068,원금 손실 유의.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,454.4,455.84,1.4399999999999975,가입 전 상품설명서 및 약관 필독.,SPEAKER_14:1.00s(1.000),SPEAKER_14,DJ
speech,456.02,457.44,1.420000000000016,장비 관리하다 하루 다 갔네.,SPEAKER_17:1.00s(1.000),SPEAKER_17,AD
speech,457.64,459.01,1.3700000000000043,장비도 시간도 아끼세요.,SPEAKER_02:1.00s(1.000),SPEAKER_02,AD
speech,459.37,459.65,0.2799999999999727,어떻게?,SPEAKER_02:1.00s(1.000),SPEAKER_02,AD
speech,459.67,461.51,1.839999999999975,글로벌 표준의 안전한 최신 장비로.,SPEAKER_11:1.00s(1.000),SPEAKER_11,AD
speech,462.31,462.43,0.1200000000000045,고장 나면?,SPEAKER_02:1.00s(1.000),SPEAKER_02,AD
speech,462.45,464.17,1.7200000000000273,정기정고매 대체 장비도 지원돼요.,SPEAKER_02:1.00s(1.000),SPEAKER_02,AD
speech,468.3,468.44,0.1399999999999863,그랜탈 뭔데?,SPEAKER_06:1.00s(1.000),SPEAKER_06,AD
speech,468.46,468.72,0.2600000000000477,롯데 롯데 롯데비즈랑탈.,UNKNOWN:1.00s(1.000),,AD
speech,468.7,479.39,10.689999999999998,모두 렌탈 롯데 비즈렌탈 노트북 고소장비 지게차 로봇까지 롯데 비즈렌탈 여러분 위기상황으로 어려움을 겪고 계신가요?,SPEAKER_11:1.00s(1.000),SPEAKER_11,AD
speech,479.91,495.99,16.079999999999984,혼자 고민하지 마시고 긴급복지 지원을 요청하세요 생계 의료 연료비 등을 지원받으실 수 있습니다 자세한 사항은 국번 없이 129로 문의 바랍니다 보건복지부가 힘이 되어드리겠습니다,SPEAKER_11:1.00s(1.000),SPEAKER_11,AD
