block_type,start,end,duration,segments,speaker_count,speakers,text
AD,0.03,19.07,19.04,1,1,SPEAKER_17,KBS만이 제공 가능한 무료 서비스 스마트폰에서 즐겨보세요 40회 실시간 채널 음원계의 다시 보기 KBS의 과거 현재 프로그램을 소환해서 볼 수 있습니다 지금 당장 구글 플레이 애플 스토어에서 KBS 플러스를 다운받으세요
DJ,37.46,82.87,45.41,9,1,SPEAKER_04,이은지의 가요광장 안녕하세요 DJ 이은지입니다 오늘 같은 날은 특히나 스트레칭을 잘 해주셔야 합니다. 빙판길에 넘어질까봐 조심조심 걷다보면 온몸에 힘이 팍 들어가구요. 운전할 때 미끄러질까봐 바짝 긴장하다 보면 도착해서 다리가 막 쑤신다니깐요. 그러니까 웬말하면 나가지마. 네? 그게 되겠냐구요? 이미 나오셨다구요? 아이고 고생하셨어라.
AD,92.0,243.35,151.35,4,1,SPEAKER_10,언제부터였는지 몰라 내 맘속에 네가 가득해 항상 추웠던 내 작은 맘이 이제 그대로 따뜻해졌어요 어쩌면 우리 이토록 둘이 오랜 시간 동안 서로 그댈 향해 비는 내 맘을 전하여 사실 그때 나는 잘 몰랐던 거야 그대의 진실한 미소를 어쩌면 우리 이토록 둘이 오랜 시간 동안 서로를 찾아 헤맸었나 봐 곁에 있는지도 모르고 바보처럼 혼자 외로워했나 봐 내가 지금 하고픈 말이
DJ,290.28,628.58,338.3,27,1,SPEAKER_04,이은지의 가요광장 오늘 첫 곡은요 소녀시대 첫눈에 이었습니다. 취재들 오늘 텐디 깜짝 놀랐습니다. 차에서 내려서 이 스튜디오까지 이렇게 올라오는데 바닥이 빙판길이더라고요 깡깡 얼었더라고요 미끄럽더라고요 그래서 어머머 세상에나 어머머 세상에나 어머머 세상에나 막 이렇게 중심을 잡으면서 걸어왔더니 약간 허리가 뭔가 괜히 뻐근한 느낌? 그런 느낌도 좀 있는 것 같고요 우리 취자들은 오늘 어떻게 또 출근을 했나 우리 김장환님도 오셨고요 이선화님 반가워요 강지혜님 안녕 4059님 오늘 또 출첵합니다 아이 감사드리고 조화금님 텐디 빙판길입니다 조심조심요 라고 텐디한테 문자도 주셨는데요 황지원님 온몸에 힘주고 어그적어그적 출근하다가요 도착 후 온몸에 힘 풀려서 근육 격련 일어났어요 이렇다니깐요 아 겨울은 이래요 겨울은 쉽지 않아요 이게 또 엄청 긴장 계속 이렇게 아악 하고 있다가 뭔가 이렇게 아 아 이렇게 긴장이 풀리면 그 뭉쳐있던 근육이 싹 풀리면서 이게 담 걸릴 수도 있고 쉽지 않아요 이민영님 맞아요 음지는 빙판 걷는데 팔 다리 허리 모두 모두 근육통 왔어요 그러니까 해가 쨍쨍 내리쬐는 곳은 바닥이 그래도 눈이 다 녹았는데요 음지는 확실히 완전 얼어버렸더라고요 이 빙판길 걸어 다니시는 분들 또 운전하셔야 되는 분들 오토바이 아 모두모두 다 조심해야 됩니다 김진님 재활용품 버리고 출근하려고 집에서 나오는데 현관 앞에서 슬라이딩 해갖고 바닥이랑 등 엉덩이 다 붙었는데 그 와중에 재활용품 놓치면 지각한다고 꽉 잡고 지켰네요 깜짝 놀라셨겠네요 이게 또 아침에 출근해가지고 이렇게 문을 탁 열고 이렇게 나가는 순간 바닥 처음 밟는 바닥이다 보니까 깜짝 놀라가지고 이렇게 확 까닥 이렇게 뒤로 갈 수도 있어요 여러분 아 우리 취자들이 오늘 많이 놀랐네요 강지혜님 오늘 서울시내 버스 파업해서요 지하철도 다 난리도 아니었어요 빙판길이라 다 엉거주춤 걸어서 평소보다 30분은 늦게 회사에 왔어요 쓰읍 아이고 참 쉽지 않겠네요. 이게 또 버스가 또 이렇게 이동수단이 파업을 하면 또 왔다갔다 이동하는데 불편함도 많고 또 하나가 이렇게 또 멈추면 운행을 멈추면 다른 택시나 지하철 다른 이동수단이 지금 이제 엄청 붐비고 다들 막 이렇게 막 겹쳐있을 거 아닙니까 지애님 오늘 진짜 하루 종일 고생 많으셨네요 세상에나 아니 아직 12시 7분밖에 안 됐는데 우리 청취자들 이렇게나 오늘 하루가 이렇게 녹록치가 않아요? 바쁘다 바빠 현대사회 녹록치 않아 사회생활 쉽지 않은 날이지만 취자들 그래도 오늘 이은지의 가요광장 들으면서 조금이나마 좀 여유가 있는 그런 하루가 되셨으면 좋겠네요. 문자사연 보내주십시오. 문자번호 샵8910 짧은 문자 50원 긴 문자와 사진 문자 100원 어플 콩과 kbs 플러스는 무료입니다. 삼사부에는요. 광장마켓 다 있어. 오늘의 고정 게스트 바로 청취자분들입니다. 청취자 여러분들과 1시간 오롯이 또 놀 수 있는 시간이라서요. 이번 주에도 청취자분들이랑 놀려고 텐디가 가요광장 곶간 열어서 선물 잔뜩 준비해놨어요. 참여하시고 선물도 꼭 받아가셔요. 2026년 1.4분기 청주 서머지 가요광장 받아쓰기 투데이 준비된 선물은요 우유 생크림 딸기 케이크 성공하신 분들 중 총 26분 2026년을 맞이하야 26분께 선물 보내드릴 거니까요 많은 참여 부탁드릴게요 이번 주 광고 소개 게스트 맞춤 송이 주제인데 오늘은 오늘의 게스트 이은지의 가요광장 오늘의 게스트는 청취자잖아요 성은 청이요 이름은 취자 취자들을 위한 송인데 여러분 이번 주 토요일이 청취자 여러분들과 텐디가 함께한 지 무려 무려 천일이 되는 날이라고 합니다 와우 그래서 이 노래 준비했습니다 감독님 음악 주세요 그 전 일동안 들어주었나요 고마워요 그렇게 우리 평생을 함께해 쥐자들도 광고주님도 이제 빼도 받고 받고 못해 천일 동안 나 사실 이 부분 밖에 몰라요 창업을 준비하는 청년들의 든든한 발판이 되어주는 곳이 있습니다.
AD,628.73,662.02,33.29,9,3,"SPEAKER_17,SPEAKER_22,SPEAKER_25","GH 경기주택도시공사는 청년 창업가들이 도전에 이어갈 수 있도록 안정적인 기반을 함께 만들어가고 있습니다. 누군가의 가능성에 무한 동력이 되어주는 일. GH가 함께합니다. 영자야, 너 피부 클리닉 다녀왔어? 아니, 화장품만 바꿨어. 무슨 화장품인데 이렇게 달라져? 리퍼브, 개인 맞춤형 화장품이라 써보면 확실히 달라. 리퍼브? 변화, 그 이상의 놀라움. 2020 APEC 공식 후원 화장품 리퍼브."
DJ/GUEST,662.04,1157.86,495.82,68,2,"SPEAKER_04,SPEAKER_09","전국 클라운지를 검색해보세요. 지금이야 스텝 1, 스텝 2 숨이 멈춘 순간 낮은 하루 이은지의 가을광장 함께하고 계시고요. 저랑 텐디 이은지입니다. 실시간 문자 사연 오네요. 6765님. 춥지만 나가서 딸기, 귤, 참치김밥, 찹쌀 도넛, 밤식빵 사가지고 왔어요. 식욕이 넘치니 반질반질한 길도 헤쳐나갈 이유가 되네요. 이놈의 식욕. 우리 텐디는 아침에 뭐 먹었나요? 6761님. 일단 배우신 분 너무 먹잘알. 조합이 너무 좋지 않아요? 일단 딸기랑 귤. 약간의 상큼상큼 달큼딸큼. 참치김밥. 너무 사랑스러운 우리들의 탄수화물. 찹쌀 도넛. 달달하면서도 쫀득쫀득한 우리들의 사랑 탄수화물 그리고 밤식빵 고소하면서도 약간의 뻑뻑함과 목막힘으로 우유 한잔 탁 하면 아이고 어쩜 이렇게 메뉴 조합을 잘 짜셨어요? 6705님 너무너무 잘하셨고 텐디 아침에 뭐 먹었나요? 텐디는 현재 공복입니다. 간헐적 단식이 텐디 좋더라고요. 제일 잘 맞는 것 같아요. 제일 잘 맞고 이제는 2, 3시쯤 식사를 하는 것이 익숙해서 괜찮은 것 같아요. 간헐적 단식 괜찮고 뭔가 공복으로 있는 것에 대한 약간의 뭐라 그럴까 괜한 약간의 즐거움? 약간 즐기게 되는 느낌? 배고픈 느낌이 약간 왔구나 왔어 이러면서 약간 즐길 수 있는 것 같아서 괜찮은 것 같아요 1666님 저는 지금 정형외과에서 허리 물리치료하고 있어요 아침 출근길에 풀린 운동화 끈 다시 묶다가 허리 삐끗해서 병원 와있습니다 아까운데 연차야 운동 부족이 이렇게나 무섭네요 1666님 아이고 세상에나 오늘 우리 청취자분들이 허리 삐끗했어요 나 아파요 네 넘어졌어요 등등등 출근길이 너무 험난했어요 이런 문자 지금 많이 오고 있는데요 이 1666님이 말씀하셨잖아요 운동 부족이 이렇게 무섭다 그래서 우리 언니들 오빠들 선배님들이 왜 그렇게 기를 쓰고 주말에도 나가서 운동을 하셨는지 알 것 같아요 이게 어느 순간 진짜 체력이 받쳐주지 않으면 뭔가 계속 더 축 처지고 그런 마음 들잖아요 그쵸 1666님 오늘도 완전 파이팅이고 얼른 치료받으시고 완쾌 완쾌 쾌차 쾌차 하셨으면 좋겠다. 염정민님 저는 오늘 처음 들어요. 오늘부터 들으려고 왔는데 첫일이라니. 축하드려요 정민님은 또 이은지의 가요광장으로 오늘 처음 들으셨대요 첫 만남은 너무 어렵지만 그래도 계획대로 되지 않겠지만 그래도 정민님 와주셔서 너무너무 감사드리고 웰컴 커피 우리 염정민 청취자에게 한잔 보내드립니다 또 신입 청취자들도 챙겨줘야 돼요 2312님 언니 저 이제 고2가 되는 하윤이라고 합니다 언니를 너무 좋아해서요 엄마한테도 홍보하고 지금도 공부하기 전에 듣고 있어요 이번에 2G폰으로 바꾸고 TV도 창고로 보내기로 했는데 공부 열심히 할 수 있게 응원 한마디 부탁해요 2312님 세상에나 웬일이야 와 이게 마음을 제대로 먹었네요 핸드폰도 어떤 스마트폰이 아닌 2G폰 그냥 딱 연락만 하겠다 나 연락만 하겠다 그런 느낌 TV도 그냥 나 안 보겠다 하는 그런 느낌 와 대단한데요 2312님 안그래도 지금 공부하느라 힘들텐데 이렇게 가요광장까지 홍보해주셔서 너무너무 감사드리고 ENG의 가요광장 오늘의 영업사원으로 2312님을 임명합니다 선물로 블루투스 이어폰 보내드릴게요 그래도 공부하실 때 뭐 아니면 인터넷 강의 같은 거 들으실 때 이어폰은 쓰시지 않을까 해서 저희가 선물로 보내드리고 3054님 텐데 지금 이 목소리가 공복 목소리라고요? 저 몸무게 6자 붙는데 한 끼라도 안 먹으면 기운이 없어서 말도 하기 싫은데 하늘이 내린 디제이네요 아유 세상에나 하늘이 내린 디스크 자키를 텐디한테 칭찬 칭찬 해주시는 거예요 갈 길이 멀고요 3054님 어쨌든 텐디를 이렇게 좋게 봐주셔서 너무너무 감사드리고 한 끼라도 안 먹으면 기운이 없는 건 맞죠 그리고 일단 배가 고프면 모든 것들을 그냥 막 다 때려 부수고 싶잖아요 다 거슬리고 내 앞에 왜 나타난 거야 부터 시작해서 배가 고프면 사람이 성질이 조금 모나집니다 그치만 기분이 없어서 말도 하기 싫지만 텐디 목소리는 괜찮나요? 3054님 어때요? 괜찮아요? 아 감사드리고 오늘 또 3,4부에 우리 청취자분들이랑 함께하는 시간이 있어요. 그때까지도 많이 많이 들어주시고 참여도 해주세요. 최수정님 방금 사연 읽어주신 정민님의 직장 동료예요. 저도 처음 들으러 왔는데 천일 축하드려요. 정말인가요? 정민님이 이은지의 가요광장을 홍보했어요 라고 했더니 이번엔 또 최수정님이 내가 정민이 직장 동료예요 라면서 나타나셨어요. 굉장히 깜짝 카메라 같은 느낌이지만 염정민님의 직장 동료 최수정님께도 웰컴 커피 보내드립니다. 평범하게 꼭 닮은 우리의 하루 현실 고증 세상의 모든 은지 그러니까 내 거랑 저 선배 거랑 둘 중에 하나가 뽑힌다는 건데 근데 뭐 되겠어 그래도 뽑히면 기분이 좋긴 하겠지 근데 뭐 최종 후보까지 온 것도 대단하긴 해 이번에 참가한 사람들도 많았다고 하던데 그래도 이왕이면 되면 아 좋겠다 되면 어떡하지? 될 수도 있는 거잖아 지금 상황이 다들 저 선배 거가 될 거라고 생각하겠지만 사람 일 모르는 거 아니야? 근데 또 저 선배가 워낙 실력을 인정받은 분이라. 그렇다고 내가 또 대충한 건 아니잖아. 내가 이것 때문에 야근만 했게 집에까지 일을 싸들고 왔다니까. 근데 뭐 사람이 너무 기대하면 실망할 수도 있잖아. 그래도 노력했는데 기대 좀 해도 되는 거 아니야? 어우 나 왜 안 되는데? 그러면 이걸로 진행하는 걸로 결정하겠습니다 두 사람 다 수고했어요 그래 이렇게 될 줄 알았어 내가 봐도 선배가 한 게 더 좋기도 했고 그래도 좀 아쉽긴 하네 근데 뭐 내가 할 수 있는 거는 다 했으니까 됐어 됐어 후회 안 해 그런 거 하지마 그래도 이번에는 가능성이 좀 있어 보였는데 근데 뭐 다음에 또 기회가 있겠지. 그래도 뭔가 느낌이 괜찮았는데 말이지. 근데 뭐 내가 못한 거 아니니까. 오케이. 끝. 선배님 고생 많으셨어요."
DJ/GUEST,1157.88,1528.44,370.56,25,2,"SPEAKER_04,SPEAKER_09",축하드려요. 함께 출발한 내 친구들이 어느새 저만지 앞서 더욱 빛나게 할 거야 괜찮아 힘을 내 넌 할 수 있을 거야 좀 서툴면 어때 가끔 넘어질 수도 있지 세상에 모든 게 단 한 번에 이루어지 그건 조금씩 더울 테니 너보다 멋진 내 친구들이 한없이 널 잡고 향한 사람들의 기대로 자꾸 어디로나 숨고 싶을 때 그럴 때 생각해 지금 이 순간이 언젠가 너를 더욱 빛나게 할 거야 괜찮아 힘을 내 넌 할 수 있을 거야 좀 더 뒤면 없다 꼭 먼저 앞설 필요는 없지 철없듯 정상에 너 혼자 부리 그건 정말 외로울 테니 괜찮아 힘을 내 넌 할 수 있을 거야 너를 돌아봐 벌써 이만큼 온 거잖아 언젠가 웃으며 오늘을 기억할 날에 조금 어쩌고 있을지 몰라 너도 몰래 어느새 세상의 모든지에 이어서 베란다 프로젝트 괜찮아 듣고 왔습니다. 세모은의 코너 오늘의 에피소드 많은 분들이 공감하실 것 같은데요. 기대하지 말자. 실망만 커. 그러면서도 약간은 좀 바라게 되잖아요 우리가. 열심히 했으니까 최선을 다했으니까 또 그런 기대 충분히 할 수 있을 것 같습니다 이명주님 이게 가능한 마음씨인가 싶지만 나 또한 열과 성을 다한 일이었다면 미련이 1도 없을 것 같기도 하네요 대인배 은지 그래서 아마 많은 분들이 진짜 최선을 다해보는 거 아닐까요 그렇게 했을 때 원하는 결과를 얻지 못하더라도 후회 없는 마음을 위해서 많은 분들이 또 파이팅 있게 하는 것 같아요 최미선님 다른 사람 것이 채택되면 축하는 해줘도 왠지 미련이 많이 남긴 하죠 그러니까요 이게 온전히 누군가를 축하해 줄 수 있는 마음 진짜 대단한 마음 아니에요 쉽지 않은 것 같아요 조금의 질투도 없이 그냥 정말 온전히 누군가를 축하할 수 있는 마음이 있다 그 사람은 진짜 주위에 혹시라도 나를 위해서 그렇게 온전히 축하해주는 마음이 있으신 분들이 있다면 그 사람 꼭 붙잡고 영원히 함께 오래오래 좋은 관계 유지하면서 서로에게 또 좋은 시너지를 주면서 잘 지내셔야 되겠어요 그런 사람들은 꼭 붙잡아야 되겠어요 온전히 나를 축하해줄 수 있는 사람들 전하경님 은지도 고생했다요 나에게라도 선물 주면 될 듯요 아 좋다. 어떤 프로젝트나 어떤 회사의 엄청 컸던 일 그런 것들 끝나고 내 아이디어가 채택되지 않더라도 내가 딱히 얻은 게 없더라도 나에게 주는 선물 정도는 할 수 있잖아요. 조그마한 갖고 싶었던 거라든지 그런 것도 갖고 하면 너무너무 좋을 것 같은데. 0645님 오늘 대입 면접 보러 간 딸내미 기다리며 문자 보내요. 오 항상 긍정적인 아이라 걱정 안 했는데 요즘 계속된 실패 때문인지 좀 우울해하네요. 대학 합격하면 둘이서 유럽여행 가기로 해서 초1대부터 적금 들어놓았는데 은지님 우리 딸 힘내라고 좋아하는 세븐틴 노래 들려주세요. 블루 신청해요. 이렇게 또 주위에 스트레스 많이 받는 사람들이 있으면 그 사람들 참 위로해 주고 싶잖아요. 0645님이 신청곡으로 위로해 주시면 되겠습니다.
GUEST,1528.74,1714.94,186.2,8,1,SPEAKER_09,"세븐틴의 듀오 유닛 승관, 도겸의 블루 하얗게 메마른 너의 그 표정에 한없이 멀어진 하루를 모를 때 대답도 없이 이어진 침묵이 마주한 우릴 기어이 삼킨 뒤에 너의 곁에서 깊이 잠기고 있어 그토록 찬란한 모습들이 모두 다 어디로 바랜 건지 차오르는 감정에 너무 휩쓸려버린 듯해 여전히 난 여기에 Still I love you without you 네 곁에서 멀리 나 홀로 깊이 falling blue 에서 너를 향해 뻗어본 손끝이 흩어진 물결은 너의 그 모습이야 Falling in blue 난 그렇게 한없이 Falling in your blue 새빨간 거짓말들로 괜찮다 웃어보여도 이미 다 투명해진 내 맘 따위 네 눈에 흔적조차도 없겠지 Baby 내일이나 그려지지 않아 더 이상 우린 어디쯤에 멎을까 Still I love you Without you 네 곁에서 멀리 나 홀로 깊이 Falling in blue 애써 너를 향해 뻗어본 손끝이 흩어진 물결에 너의 그 모습이 I'm blue Falling in blue 이렇게 한없이 Falling in your blue 홀로 눈을 맞추고 사랑을 더 애써도 You didn't come back to me 오직 메아리 맘 이제는 돌이킬 수 없는 그 마음이 더는 외면할 수 없는 이 순간이야"
AD,1717.86,1817.83,99.97,10,4,"SPEAKER_02,SPEAKER_11,SPEAKER_23,SPEAKER_25","사업장이 여러 갠데 매출, 매입, 지출, 계좌 현황을 한눈에 쉽게 볼 수 없을까? 여러 사업자의 격리 업무도 이제 한 번에 쉽고 편하게 격리회계 프로그램 세계 미술사를 바꾼 인상파의 원화가 노원에 옵니다. 모네, 고흐, 세잔, 르누아르까지 빛과 색채의 혁명을 만든 거장들의 원화를 놓치지 마세요. 노원아트 뮤지엄에서 12월 19일부터 5월 31일까지 지금 인상파 찬란한 순간들을 검색하세요. 아빠, 엄마한테 또 혼났다? 아니 그러면 김밥에서 당근 빼고 먹었어? 찬바람 부는 저녁에 오마이걸 효정의 볼륨을 높여요. 찬바람 부는 아침엔 이현우의 음악 앨범. 판총물 대박날까 불안하네"
DJ,1867.79,1947.56,79.77,7,1,SPEAKER_04,9552님 캐나다에 사는 직장인이에요. 가족 품이 그리워 한국에 왔는데 엄마는 태국으로 아빠는 친구 모임 동생은 출근하느라 이번 주는 저 혼자 놀아야 되네요. 홀로 고독하게 커피 한잔하고 싶어요. 9552님 그럼 이번 주는 텐디랑 노는 거 어때요? 마침 지금이 청취율 조사 기간이라서 각종 푸짐한 선물들과 재밌는 컨텐츠 잔뜩 준비해놨습니다. 여유롭게 커피 한잔하며 함께 즐겨주세요 주문하신 커피 한잔 바로 보내드려요 이렇게 커피 필요하신 분들 주문 넣어주세요 몇 잔이 필요한지 누구랑 마시고 싶은지 듣고 싶은 신청곡이랑 함께 적어 사연으로 보내주세요 커피 쿠폰 주문하신 번호로 바로 보내드릴 거라 신청은 문자로만 받습니다 문자 번호 샵 8910 짧은 문자 50원 긴 문자 100원 자세한 얘기가 궁금한 분께는요 전화 한번 걸어볼게요 커피 주문했는데 02로 시작하는 번호로 전화가 온다 그냥 편하게 받아주시고요 운전하고 계시면 완전히 정체하신 다음 받아주세요 전화 받았는데 운전 중이시면 안전을 위해 바로 끊을게요 그래도 커피는 보내드립니다 걱정하지 마시고요 주문 기다리면서 노래 듣고 옵니다 신청곡이네요 조화금 2717님의 신청곡 에픽하이 피처링 융진 랍 랍 랍
